iteration,estimator,scoring,loss,meanScore,stdScore,minScore,maxScore,trainTime,status,params
23,lightgbm.LGBMClassifier,accuracy,0.15301302136164519,0.8469869786383548,0.019027142231458793,0.8108108108108109,0.8818181818181818,9.578774006999993,ok,"{'boosting_type': 'dart', 'class_weight': None, 'colsample_bytree': 0.652320393902334, 'learning_rate': 0.22687361487050928, 'max_depth': 4, 'min_child_samples': 60, 'n_estimators': 3170, 'num_leaves': 31, 'reg_alpha': 1.1554595819200548, 'reg_lambda': 0.7593278988642869, 'subsample': 0.6854585448252827, 'subsample_for_bin': 220000}"
24,lightgbm.LGBMClassifier,accuracy,0.14958307974363017,0.8504169202563698,0.02013916535612376,0.8108108108108109,0.8727272727272727,9.482741959999998,ok,"{'boosting_type': 'dart', 'class_weight': None, 'colsample_bytree': 0.6437930460016363, 'learning_rate': 0.23063264983756, 'max_depth': 4, 'min_child_samples': 95, 'n_estimators': 3650, 'num_leaves': 37, 'reg_alpha': 0.8461182915183074, 'reg_lambda': 0.9020863367732536, 'subsample': 0.713213418118011, 'subsample_for_bin': 260000}"
25,lightgbm.LGBMClassifier,accuracy,0.15411848462307176,0.8458815153769282,0.022497060996385043,0.7927927927927928,0.8727272727272727,5.873953298999936,ok,"{'boosting_type': 'dart', 'class_weight': None, 'colsample_bytree': 0.6951538834465982, 'learning_rate': 0.15954063134567392, 'max_depth': 16, 'min_child_samples': 95, 'n_estimators': 2240, 'num_leaves': 30, 'reg_alpha': 0.846375935845408, 'reg_lambda': 0.8812381730617186, 'subsample': 0.8063524190528949, 'subsample_for_bin': 280000}"
26,lightgbm.LGBMClassifier,accuracy,0.16208364327630376,0.8379163567236962,0.02337466460209278,0.8018018018018018,0.8818181818181818,1.7370764040000495,ok,"{'boosting_type': 'dart', 'class_weight': None, 'colsample_bytree': 0.5985091796956531, 'learning_rate': 0.18845222089664473, 'max_depth': 10, 'min_child_samples': 135, 'n_estimators': 1020, 'num_leaves': 36, 'reg_alpha': 0.7567801556020176, 'reg_lambda': 0.9947748621407301, 'subsample': 0.9906587383383382, 'subsample_for_bin': 260000}"
27,lightgbm.LGBMClassifier,accuracy,0.15408758424813473,0.8459124157518653,0.027282426475282298,0.7927927927927928,0.8909090909090909,4.0698579969999855,ok,"{'boosting_type': 'dart', 'class_weight': None, 'colsample_bytree': 0.6629586191216116, 'learning_rate': 0.2313458765980913, 'max_depth': 5, 'min_child_samples': 115, 'n_estimators': 1760, 'num_leaves': 43, 'reg_alpha': 0.8484971147999067, 'reg_lambda': 0.8597715241132862, 'subsample': 0.7124375133952925, 'subsample_for_bin': 280000}"
28,lightgbm.LGBMClassifier,accuracy,0.1553064114990721,0.8446935885009279,0.025636437766203852,0.8018018018018018,0.8909090909090909,6.526599206000014,ok,"{'boosting_type': 'dart', 'class_weight': None, 'colsample_bytree': 0.571886639702688, 'learning_rate': 0.18148718082249282, 'max_depth': 18, 'min_child_samples': 145, 'n_estimators': 3010, 'num_leaves': 44, 'reg_alpha': 0.9853943405804153, 'reg_lambda': 0.6859954077383172, 'subsample': 0.633251613466895, 'subsample_for_bin': 260000}"
29,lightgbm.LGBMClassifier,accuracy,0.14957303007761724,0.8504269699223828,0.02506104809945815,0.8018018018018018,0.8909090909090909,2.7037655199999335,ok,"{'boosting_type': 'dart', 'class_weight': None, 'colsample_bytree': 0.6307674731359652, 'learning_rate': 0.20223082639209194, 'max_depth': 8, 'min_child_samples': 100, 'n_estimators': 1230, 'num_leaves': 35, 'reg_alpha': 0.7944314240286288, 'reg_lambda': 0.924397730918878, 'subsample': 0.9516121498636986, 'subsample_for_bin': 240000}"
30,lightgbm.LGBMClassifier,accuracy,0.15409782175837217,0.8459021782416278,0.024556731813215667,0.7927927927927928,0.8818181818181818,6.654270335999968,ok,"{'boosting_type': 'dart', 'class_weight': None, 'colsample_bytree': 0.6299980294553188, 'learning_rate': 0.20139762737245856, 'max_depth': 8, 'min_child_samples': 100, 'n_estimators': 2600, 'num_leaves': 37, 'reg_alpha': 0.8558455034800829, 'reg_lambda': 0.912691827099404, 'subsample': 0.9392471442169527, 'subsample_for_bin': 300000}"
31,lightgbm.LGBMClassifier,accuracy,0.1529925463411701,0.8470074536588299,0.025727587034345058,0.7927927927927928,0.8909090909090909,6.01035174499998,ok,"{'boosting_type': 'dart', 'class_weight': None, 'colsample_bytree': 0.6952070048971066, 'learning_rate': 0.2004055423204325, 'max_depth': 8, 'min_child_samples': 115, 'n_estimators': 2440, 'num_leaves': 42, 'reg_alpha': 0.7537293542348712, 'reg_lambda': 0.8160672398179251, 'subsample': 0.8154820788243501, 'subsample_for_bin': 200000}"
32,lightgbm.LGBMClassifier,accuracy,0.1496041182967789,0.8503958817032211,0.027230408021800257,0.8018018018018018,0.9,0.8618511949999856,ok,"{'boosting_type': 'dart', 'class_weight': None, 'colsample_bytree': 0.5726434965505665, 'learning_rate': 0.24961832573966158, 'max_depth': 8, 'min_child_samples': 100, 'n_estimators': 560, 'num_leaves': 34, 'reg_alpha': 0.7909032175418501, 'reg_lambda': 0.689893898106281, 'subsample': 0.787947517264287, 'subsample_for_bin': 340000}"
