,f_value,p_value,variance,correlation_to_target,LGBMClassifier_rfe_rank,LogisticRegression_rfe_rank,RandomForestClassifier_rfe_rank,GradientBoostingClassifier_rfe_rank,AdaBoostClassifier_rfe_rank,ExtraTreesClassifier_rfe_rank,LGBMClassifier_feature_importance,XGBClassifier_feature_importance,RandomForestClassifier_feature_importance,GradientBoostingClassifier_feature_importance,AdaBoostClassifier_feature_importance,ExtraTreesClassifier_feature_importance
CabinQuarter_G_catboost_encoded,5.2243696540467015,0.02250870408834721,3.011468779223305,0.07669297888933016,33,25,68,28,16,69,16,0.0094316425,0.0015758365684387897,0.001369304344772331,0.0,0.0031132756516222193
CabinQuarter_G_target_encoded,4.998503272354656,0.025618452475995195,3.505180796691902,0.07502635946220124,74,17,64,54,76,64,0,0.0,0.001546236851034428,0.002497152492965054,0.02,0.0023439358600880968
CabinQuarter_G_woe_encoded,1.316302951457365,0.25156739781632975,410.96259404047595,0.03858105610888118,44,69,71,45,78,65,3,0.006935564,0.001966033513981163,0.00032093461827323625,0.0,0.0027499824024790863
CabinQuarter_T,0.6176486413774549,0.4321332491794767,0.001128666730505282,0.02643860609906662,80,10,80,80,80,80,0,0.0,4.5045748503825266e-05,0.0,0.0,7.45831318872829e-05
CabinQuarter_T_catboost_encoded,5.355661063917512,0.020883798864397455,0.639556653280244,0.07764493043623871,79,77,74,79,79,72,0,0.0,0.0009620570154081087,0.0,0.0,0.0021650758214719202
CabinQuarter_T_target_encoded,5.5604967317754985,0.01858737232801897,0.6378938337033009,0.07910670476247281,77,53,70,77,77,73,0,0.0063466835,0.0014819969192819361,0.0,0.0,0.0022466651012769813
CabinQuarter_T_woe_encoded,3.6618161434585246,0.05599599607498712,12.783413110134836,0.06426422351196166,71,54,75,75,75,74,0,0.0,0.0010080428407483648,0.0,0.0,0.0018932291534901264
CabinQuarter_X,98.99921143628848,3.5268513723013035e-22,0.17429729643461328,0.3175121129791702,30,55,49,18,73,41,23,0.09792575,0.008468876030093381,0.002219199195483272,0.0,0.012114322669995561
CabinQuarter_X_catboost_encoded,93.4070289095913,4.503503479412882e-21,22.96161880561482,0.3092960192855299,8,56,19,9,70,15,40,0.007105386,0.00823179710052546,0.0017987775973744087,0.02,0.01278941303585574
CabinQuarter_X_target_encoded,93.42736606965829,4.461850993951284e-21,23.04539280029888,0.3093264669838798,60,23,32,49,10,34,0,0.0,0.013025774133890448,0.006137872080646249,0.02,0.013043302112700763
CabinQuarter_X_woe_encoded,95.75410191895776,1.5432628380447314e-21,33.91980629378951,0.3127821035624403,29,24,41,35,47,28,17,0.012682335,0.010071365189583582,0.022274730652109546,0.0,0.009987612267595637
Embarked_Q,0.02107790932144501,0.884600048077949,0.07943566663474735,0.004885716138133478,41,30,69,67,45,61,6,0.016585134,0.002013217319284074,0.0,0.0,0.003955503029124481
Embarked_Q_catboost_encoded,13.593797848276028,0.00024078666423980676,1.8815868064158157,0.123132455004289,27,51,43,36,43,54,26,0.008259957,0.004487340654009639,0.002405693489789039,0.0,0.004062437131189661
Embarked_Q_target_encoded,13.598334252538953,0.0002402143627306798,1.9160458062696692,0.1231526870865927,65,74,45,15,37,52,0,0.0,0.005251999943431933,0.0036712409107847307,0.0,0.0047762635251594075
Embarked_Q_woe_encoded,8.335114760363398,0.003983484384242836,2.7789058580656216,0.09670196158145586,16,32,40,47,20,46,51,0.009586348,0.005997628125547064,0.003127810823275333,0.02,0.00566249490778587
Embarked_S,18.66538992544062,1.7347078050642936e-05,0.1986734335599604,0.14387847750972307,37,80,52,40,51,49,5,0.006435922,0.004343287687182493,0.0007365724674810593,0.0,0.008619077347055883
Embarked_S_catboost_encoded,15.108469342639355,0.00010910673136056177,0.28010474769838634,0.12970175061168263,9,15,37,53,18,38,93,0.010508969,0.01021081486322469,0.0002802130667755132,0.02,0.007701203301916108
