,f_value,p_value,variance,correlation_to_target,LGBMRegressor_rfe_rank,LGBMRegressor_feature_importance
WoodDeckSF,173.35592376017055,1.8481215897164175e-37,0.5345625392276235,0.32830557817338457,12,67
WoodDeckSF_binned_5,203.7116513263771,2.5688794255679813e-43,0.6555294534687931,0.3525791803716517,217,0
YearRemodAdd_1950,244.74035326861446,4.6767563990091096e-51,0.10800162133184567,0.3817083966594399,35,11
YearRemodAdd_1951,1.6457564743930089,0.19974464464680344,0.0027758285959740797,0.033846045890005554,237,0
YearRemodAdd_1952,7.292682525226941,0.007005020195037423,0.003467364401112075,0.07110775277071998,238,0
YearRemodAdd_1953,0.8483448702752467,0.3571758020041409,0.006223822246241955,0.024307032021106293,221,0
YearRemodAdd_1954,9.724199002163969,0.001854727844517869,0.009647602457954579,0.08204166117362073,241,0
YearRemodAdd_1955,5.217394682602535,0.0225075211437585,0.006223822246241955,0.06018840292442336,245,0
YearRemodAdd_1956,5.69083572394476,0.017182823750551406,0.006910515363668897,0.0628496158807981,249,0
YearRemodAdd_1957,3.447504488506792,0.06355214923004993,0.006223822246241955,0.048955941998749856,287,0
YearRemodAdd_1958,8.104312370031282,0.004478858532655316,0.010329452887670466,0.07493922954198236,289,0
YearRemodAdd_1959,5.244538452668877,0.022160301911770198,0.012369192951564889,0.06034419783000828,291,0
YearRemodAdd_1960,1.942172685063104,0.1636486104453512,0.008280995985896157,0.03676412850072305,293,0
YearRemodAdd_1961,2.9463221746358492,0.08628904433244029,0.005536160591272798,0.04526565197288091,296,0
YearRemodAdd_1962,1.8664010172423076,0.17210189172754206,0.009647602457954577,0.03604078871234208,313,0
YearRemodAdd_1963,2.7143876016786295,0.09966605778150166,0.008964783490696468,0.04345098460241031,315,0
YearRemodAdd_1964,0.19637270952552727,0.6577315557279682,0.007596239943553631,0.011697280441565431,300,0
YearRemodAdd_1965,10.209580566691914,0.001427527239923417,0.011690248134475622,0.0840501580337491,304,0
YearRemodAdd_1966,2.141501714251917,0.14358049175591958,0.010329452887670466,0.0386019681122836,303,0
YearRemodAdd_1967,4.853969218311053,0.027741015933693478,0.008280995985896157,0.0580616381681019,299,0
YearRemodAdd_1968,0.9958056867516116,0.3184957788306525,0.011010334779844153,0.02633362915760354,324,0
YearRemodAdd_1969,0.5264621274228867,0.4682163734558483,0.009647602457954577,0.019150405127518488,295,0
YearRemodAdd_1970,8.81578974291773,0.0030359098329414743,0.017765884136759443,0.0781402359622174,124,2
YearRemodAdd_1971,14.501857845804466,0.00014592683409804977,0.012369192951564889,0.1000235890031732,278,0
YearRemodAdd_1972,10.33687763473635,0.0013330161068165758,0.013047169231111945,0.08456879563057243,276,0
YearRemodAdd_1973,4.034653521719263,0.04476186840462286,0.007596239943553631,0.052950186792436654,272,0
YearRemodAdd_1974,0.09320156918404159,0.7601900842236103,0.004847530398761433,0.008058821912866462,269,0
YearRemodAdd_1975,0.11554763202473725,0.7339642775360542,0.006223822246241955,0.008972988065163945,305,0
YearRemodAdd_1976,0.8175116468677948,0.3660604692482662,0.02044098482834366,0.023861478587245754,307,0
YearRemodAdd_1977,0.5428011039776885,0.46139459994278376,0.016422522565714057,0.01944519435667903,134,2
YearRemodAdd_1978,0.3988995606272362,0.5277587116617195,0.011010334779844153,0.016670379034716347,312,0
YearRemodAdd_1979,1.1743365459025452,0.2786940259500142,0.006910515363668897,0.028595171614143083,267,0
YearRemodAdd_1980,0.763986210970434,0.3822301713547104,0.008280995985896157,0.02306753734034435,239,0
YearRemodAdd_1981,0.2881145966760725,0.5915144877242526,0.005536160591272798,0.014168148051951287,240,0
YearRemodAdd_1982,5.0973553919562695,0.024112095337516026,0.004847530398761432,0.059494460489705636,308,0
YearRemodAdd_1983,1.2023068773092458,0.2730450688539082,0.003467364401112075,0.028933425618748294,219,0
YearRemodAdd_1984,0.3126739455653178,0.576131216045594,0.004847530398761432,0.014759532005118961,250,0
YearRemodAdd_1985,0.05008155730357765,0.8229532736008854,0.006223822246241955,0.005907522489380107,318,0
YearRemodAdd_1986,0.5050881804605383,0.47738839908728403,0.0034673644011120747,0.018757771224360512,323,0
YearRemodAdd_1987,0.523848346631456,0.4693226548257803,0.006223822246241955,0.01910282437102228,321,0
YearRemodAdd_1988,0.8778853972420176,0.3489391639255086,0.006223822246241955,0.024726358355292594,317,0
YearRemodAdd_1989,1.7634984464047583,0.1843999310182961,0.007596239943553631,0.03503441722514323,259,0
YearRemodAdd_1990,1.0478736480023165,0.3061698441170826,0.009647602457954579,0.02701282470297688,252,0
YearRemodAdd_1991,0.47595933337772267,0.4903698478692614,0.009647602457954579,0.01820903631429577,231,0
YearRemodAdd_1992,0.003558235250534234,0.9524419479831513,0.011690248134475622,0.0015746746641546916,242,0
YearRemodAdd_1993,3.2442105282450218,0.07188607680139722,0.012369192951564889,0.04749393979954889,232,0
YearRemodAdd_1994,7.728140946581044,0.005507656372805338,0.015075286844499849,0.07318890769859353,222,0
YearRemodAdd_1995,0.8231617929364218,0.36440967826991577,0.02044098482834366,0.02394374754568455,155,0
YearRemodAdd_1996,1.1679687398890035,0.28000059504762637,0.023763068598124236,0.02851760120502693,161,0
YearRemodAdd_1997,7.090001403771196,0.00783817119691373,0.017094687620007855,0.07011758953354674,135,1
YearRemodAdd_1998,7.550592408531718,0.006074141399579357,0.024424579739453712,0.07234774293963928,175,0
YearRemodAdd_1999,6.20150327351944,0.012876589512814915,0.02044098482834366,0.06559732587878514,151,0
YearRemodAdd_2000,1.9172126189218375,0.16637951371340018,0.03680926929169397,0.0365274425041604,150,0
YearRemodAdd_2001,1.6886705595247211,0.19398503355904545,0.014400216177579427,0.03428397205576887,131,3
YearRemodAdd_2002,10.903750383275005,0.0009832996261572749,0.030986421587926992,0.08683968876703933,183,0
YearRemodAdd_2003,3.283895141881975,0.07017163442103032,0.03423102235433073,0.047782881050064244,103,3
YearRemodAdd_2004,5.527410393485838,0.0188554639285039,0.0406475835714725,0.06194412065597916,140,1
YearRemodAdd_2005,18.500932897965043,1.8130018774477813e-05,0.04821961007647088,0.11282079522828733,234,0
YearRemodAdd_2006,40.71482527473816,2.3712878991982156e-10,0.06113505820184226,0.1661020787153361,126,5
YearRemodAdd_2007,28.58930760452128,1.0398197490148956e-07,0.04946805496837966,0.13976299695334074,117,5
