,f_value,p_value,variance,correlation_to_target,LGBMRegressor_rfe_rank,LGBMRegressor_feature_importance
Neighborhood_Timber,26.665824270975108,2.758354414310248e-07,0.024424579739453712,0.13506830816934212,166,0
Neighborhood_Veenker,4.862435045157999,0.02760569370727452,0.006910515363668897,0.05811207803725304,177,0
OpenPorchSF,172.16124083747485,3.1593691110602186e-37,0.9220683094581539,0.32729394207820967,10,75
OpenPorchSF_binned_5,238.9674914851612,5.58597020307448e-50,0.6376579987399328,0.37782953385975265,261,0
OverallCond_ordinal_encoded,2.7155190623586076,0.09959555688779784,1.2366442304945013,0.04346002257469003,14,98
OverallQual_ordinal_encoded,2940.3350605426103,0.0,0.46734696743631504,0.819771381571633,11,107
PavedDrive_ordinal_encoded,149.93744262323136,7.331328309292305e-33,0.2500424945846645,0.307573551147454,36,26
PoolArea,1.79692853615128,0.1802964413822919,738.0,0.035364515073952225,275,0
PoolArea_binned_5,,,0.0,,277,0
PoolQC_ordinal_encoded,1.4299937640948004,0.2319630165248734,0.01388689128020808,0.03155185077948315,271,0
RoofMatl_ClyTile,,,0.0,,279,0
RoofMatl_CompShg,2.5446460483078623,0.11088890590484658,0.013724176973116791,0.042072955426526594,281,0
RoofMatl_Membran,0.9087952696359867,0.34059481934015245,0.000695409955306835,0.025157622789919416,282,0
RoofMatl_Metal,0.043053659713706505,0.8356537077504606,0.0006954099553068351,0.005477376214677971,285,0
RoofMatl_Roll,0.23518312226283122,0.6277809916318963,0.000695409955306835,0.01280093050454939,286,0
RoofMatl_Tar&Grv,0.017215762343577218,0.8956284870687732,0.006910515363668897,0.00346365457312226,268,0
RoofMatl_WdShake,4.332954161034736,0.037558205240489875,0.003467364401112076,0.054867025043441105,265,0
RoofMatl_WdShngl,0.9125357973657783,0.3396033832664338,0.0013898513730714603,0.025209310159537906,263,0
RoofStyle_Flat,0.5129830962584805,0.47396687682896266,0.00828099598589616,0.018903749989209708,178,0
RoofStyle_Gable,52.340558717163034,7.569415456556225e-13,0.16958414387818896,0.18759185011748106,81,7
RoofStyle_Gambrel,3.502436068962275,0.06148194799508556,0.007596239943553631,0.0493434836597651,184,0
RoofStyle_Hip,58.55870328648267,3.600645316315278e-14,0.15645852310615802,0.19800883890914106,104,6
RoofStyle_Mansard,0.06709151024390088,0.7956567356978743,0.004847530398761432,0.0068375053837002415,203,0
RoofStyle_Shed,1.1040291646609228,0.29356047960456527,0.0013898513730714603,0.027726645050272964,186,0
SaleCondition_Abnorml,45.30967599218807,2.4248723585987134e-11,0.06414720995811558,0.17495211189306276,30,28
SaleCondition_AdjLand,6.21285627467986,0.012794630581056633,0.0027758285959740797,0.06565708385018221,233,0
SaleCondition_Alloca,0.8493515308000055,0.3568907635192654,0.008280995985896157,0.024321440789502068,310,0
SaleCondition_Family,2.910923451093995,0.0881978634224468,0.013724176973116788,0.04499346095811404,84,6
SaleCondition_Normal,15.126856746103364,0.00010512012770102531,0.14685934752531393,0.10213423706536331,20,28
SaleCondition_Partial,185.89790130647717,6.806589772204973e-40,0.07769123894838129,0.3386564982802555,71,11
SaleType_COD,10.525061502600577,0.001204779693756824,0.0290280386775782,0.08532956042315909,162,0
SaleType_CWD,0.830814362975761,0.3621902423919524,0.0027758285959740797,0.024054723168082257,223,0
SaleType_Con,2.8904546425429096,0.08932247070559363,0.0006954099553068351,0.04483531022018559,225,0
SaleType_ConLD,3.5299017386569886,0.06047392135208878,0.006223822246241954,0.04953610568487994,227,0
SaleType_ConLI,0.021754568432244083,0.8827625986343979,0.003467364401112075,0.003893552128855115,229,0
SaleType_ConLw,2.0061937043898603,0.15687496440737275,0.003467364401112075,0.03736432247317794,230,0
SaleType_New,192.0572577647642,4.4146757979798133e-41,0.07595368259765642,0.34356897844448375,27,7
SaleType_Oth,2.2858040306970917,0.1307826447219207,0.0020833242532938756,0.039879336959501806,211,0
SaleType_WD,74.11603216097396,1.905140297543619e-17,0.11422544357808763,0.22161276079791947,63,8
ScreenPorch,19.524215785041275,1.0679600347205002e-05,480.0,0.11585807849050252,37,18
ScreenPorch_binned_5,,,0.0,,171,0
Street_ordinal_encoded,7.667813258225062,0.005693820318355832,0.003467364401112075,0.07290420735552086,191,0
TotRmsAbvGrd,569.2393933253793,3.0790204412151827e-106,0.6446067713365189,0.5329330777548601,29,18
TotalBsmtSF,997.3822796476289,1.2022372682175763e-166,0.6697982817092997,0.6403463060045234,8,121
TotalBsmtSF_binned_5,777.2319075731806,4.734438479382945e-137,0.49702780041734285,0.5927341979201238,212,0
TotalSF,2948.995782994565,0.0,0.5774486576808259,0.8201664726174528,3,201
Utilities_ordinal_encoded,0.22630390489026003,0.634350482139016,0.00278163982122734,0.012556998179233624,216,0
