,f_value,p_value,variance,correlation_to_target,LGBMRegressor_rfe_rank,RandomForestRegressor_rfe_rank,GradientBoostingRegressor_rfe_rank,AdaBoostRegressor_rfe_rank,ExtraTreesRegressor_rfe_rank,LGBMRegressor_feature_importance,XGBRegressor_feature_importance,RandomForestRegressor_feature_importance,GradientBoostingRegressor_feature_importance,AdaBoostRegressor_feature_importance,ExtraTreesRegressor_feature_importance
MoSold_12,0.478064302718083,0.4894122587121481,0.038732784850523186,0.018249243994035408,114,82,250,104,73,5,0.0010674554,0.00045743198286827424,0.0,0.0,0.0008637025472402426
MoSold_2,0.5451672070466314,0.4604198555672231,0.03423102235433073,0.0194875136045724,123,135,36,22,87,3,0.00359056,0.00019081624574378061,0.0010292301581978475,0.00528654096524215,0.000861594727585423
MoSold_3,0.04675423430570056,0.8288413263471917,0.06772983032675067,0.005707914368537642,116,99,184,105,109,3,0.00046886655,0.00034579736109097397,0.0,0.0,0.0006343932211239065
MoSold_4,1.7614403371053644,0.18465608141828385,0.08737274022031324,0.03501399269358454,139,106,148,95,126,1,0.00088537147,0.000312920211963406,0.0002671570781814938,0.0,0.00040059573144629026
MoSold_5,1.8043862762520966,0.17939550964370954,0.12131029569935432,0.0354377332760233,110,125,258,94,105,3,0.00036157944,0.0002003637834173406,0.0,0.0,0.0006878485282827801
MoSold_6,0.2784039362430302,0.5978308167554024,0.14279730107328487,0.013927385942829273,98,74,82,115,102,8,0.00058288354,0.0004502378791374731,0.00016631608037342586,0.0,0.0007856804828675198
MoSold_7,0.5500277025212967,0.45842773159236816,0.13585288689563862,0.01957415918455768,88,98,104,114,74,9,0.0004318036,0.0003717899365947939,3.2610222863370365e-05,0.0,0.0009391546221560409
MoSold_8,0.6405271561067148,0.4236524439441224,0.07537256007233037,0.021122529176859695,129,103,85,118,95,3,0.00048985856,0.00032472373539710786,0.00013658565137951046,0.0,0.0008373206631902462
MoSold_9,2.692633616672974,0.10103220504018419,0.04191927336439434,0.04327684659391147,195,147,102,124,151,0,0.0019460843,0.00012899307592974154,3.28217089701959e-05,0.0,0.0002730590711186809
Neighborhood_Blmngtn,2.509870042705047,0.11335559916741723,0.011690248134475622,0.041784980116223426,213,245,160,121,239,0,0.00014980699,1.0736445272355127e-05,0.0,0.0,3.787459828373929e-05
Neighborhood_Blueste,0.4767027905471333,0.49003127896125453,0.0013898513730714603,0.01822324746963978,188,300,146,123,303,0,0.0,2.081006787186787e-06,0.0,0.0,4.6027357435493923e-07
Neighborhood_BrDale,23.459779914145262,1.4136671175879736e-06,0.011010334779844151,0.1268278815173241,174,269,185,120,202,0,0.00028419038,8.791583534161273e-07,0.0,0.0,0.0001295936155615104
Neighborhood_BrkSide,45.32307217384753,2.4088475901973756e-11,0.03809258153512232,0.17497718127019424,67,175,76,148,136,10,0.0011931869,0.00011512806176563968,5.5132297960815126e-05,0.0,0.0004969719283153148
Neighborhood_ClearCr,5.443678724294648,0.01977682977991558,0.017094687620007855,0.06147493836604127,130,170,63,113,141,1,0.0,0.00015109512149681322,0.00039919364125607883,0.0,0.00037716817990497296
Neighborhood_CollgCr,22.572271444563466,2.2266983493959045e-06,0.09238492200125038,0.12444360487794225,92,134,189,91,138,3,0.002010257,0.0001767319084250562,0.0,0.0,0.0004464707471235645
Neighborhood_Crawfor,11.552174921960262,0.000695244080081899,0.03358403927613442,0.0893644582404665,33,63,26,122,48,18,0.0071232636,0.000536957106478267,0.002441935793336739,0.0,0.0022648541735076732
Neighborhood_Edwards,69.72704470214181,1.5840725159286673e-16,0.06354671668194532,0.21526417840125,51,87,80,84,76,16,0.0008968724,0.0003950601859740232,0.00012037475884364054,0.0,0.001311425901080414
Neighborhood_Gilbert,10.1885517460945,0.001443781523090093,0.05133345827467628,0.0839641646245116,235,186,106,50,185,0,0.00035513172,6.030454122636614e-05,1.6749619867683134e-05,0.0,0.0001297019230187331
Neighborhood_IDOTRR,84.60666366550066,1.2437393771446602e-19,0.025085122343240986,0.23595907780973469,47,83,56,70,173,14,0.00036431773,0.0005503956329490946,0.0003822170769145456,0.0,0.00036537966518041497
Neighborhood_MeadowV,33.54609142787848,8.53838524048577e-09,0.011690248134475624,0.15113921850315518,146,158,174,68,99,0,0.0,8.145565098521524e-05,0.0,0.0,0.0007347710939617092
Neighborhood_Mitchel,2.358352574080458,0.12483416830283503,0.032936087660395866,0.04050623125671995,127,140,99,75,169,1,0.0037354445,0.00014246703575848666,9.819690300460053e-05,0.0,0.00020449086292117203
Neighborhood_NAmes,42.23149184498255,1.1156285513719535e-10,0.13110221025109825,0.1690806594297546,56,66,198,132,91,16,0.0033101817,0.0005463594786979383,0.0002247958630334151,0.0009780887801367753,0.0007570927501231145
Neighborhood_NPkVill,1.3542952236132249,0.24472207773025034,0.006223822246241955,0.03070618659268428,244,210,136,76,232,0,0.0,3.8601246149140315e-05,0.0,0.0,6.20069036420663e-05
Neighborhood_NWAmes,6.195872197121764,0.01291744130012862,0.04821961007647088,0.0655676654332923,125,185,180,127,163,1,0.0009091828,6.653164319603409e-05,0.0,0.0,0.0002564291248171362
Neighborhood_NoRidge,104.01017264295734,1.2586839693555908e-23,0.02640330193818889,0.2599663660334052,153,182,188,130,153,0,0.0005947603,6.554454251471156e-05,0.0,0.0,0.00029122547787019485
Neighborhood_NridgHt,217.17750433313276,7.04106441996175e-46,0.05071262571011963,0.3625593142761056,111,167,181,67,155,3,0.0002107375,8.244949626298063e-05,0.0,0.0010445175045926435,0.0002873570558944913
Neighborhood_OldTown,86.6161251247665,4.7670470655342725e-20,0.07127758334386616,0.23858702648030125,34,29,40,35,58,11,0.004628188,0.002222478632281316,0.0009115460302515873,0.0024697422950151365,0.002146439441834234
