,f_value,p_value,variance,correlation_to_target,LGBMClassifier_rfe_rank,RandomForestClassifier_rfe_rank,GradientBoostingClassifier_rfe_rank,ExtraTreesClassifier_rfe_rank,AdaBoostClassifier_rfe_rank,XGBClassifier_rfe_rank,LGBMClassifier_feature_importance,RandomForestClassifier_feature_importance,GradientBoostingClassifier_feature_importance,ExtraTreesClassifier_feature_importance,AdaBoostClassifier_feature_importance,XGBClassifier_feature_importance
DailyRate*MonthlyRate_binned_5_target_encoded,6.618007204322001,0.01021854679294218,0.5997704052830292,0.07525360868474734,461,53,198,89,219,346,0,0.002554285026985643,0.0007389756353401737,0.0018663722218834875,0.0,0.0
DailyRate*MonthlyRate_binned_5_woe_encoded,4.932406437371155,0.026549809011968312,0.6944596958506123,0.06501395369836117,72,111,92,69,22,73,12,0.0028314938147094575,0.005324644396556866,0.0024391323883815215,0.02,0.007130689
DailyRate*PercentSalaryHike,2.182483866042378,0.13985998648889983,0.49299349357253325,0.043297716313149506,62,45,83,297,223,132,16,0.0040606892052438195,0.0032814723026774154,0.0013677731560168046,0.0,0.003007808
DailyRate*PercentSalaryHike_binned_5,1.7676205617754723,0.18393776996392297,0.4995674944792811,0.03897278014875672,465,413,262,274,211,338,0,0.0014416458052446256,0.0,0.001769360038538462,0.0,0.0
DailyRate*PercentSalaryHike_binned_5_catboost_encoded,13.34273644105394,0.0002709833870690999,2.045777004590278,0.10654674581061988,13,69,9,70,10,9,38,0.002919495654380409,0.00787692602053444,0.0019944473443227802,0.02,0.007220438
DailyRate*PercentSalaryHike_binned_5_target_encoded,13.329383682704222,0.0002728976424924338,2.0587160144725445,0.10649402400528808,470,32,81,48,227,326,0,0.0023599719529658297,0.010034205363009835,0.002248407065362661,0.0,0.0
DailyRate*PercentSalaryHike_binned_5_woe_encoded,12.212123592270787,0.0004926780550228726,1.2589063958266897,0.10198171600811513,65,46,97,93,230,97,21,0.0032222923970273774,0.001824267797537531,0.002315674803193858,0.0,0.0054585645
DailyRate*TotalWorkingYears,20.25462351707655,7.46003155187349e-06,0.9153514211186509,0.13089003294402785,43,31,31,185,232,104,19,0.003967386840448115,0.008679231868527822,0.001273518438444287,0.0,0.0063512707
DailyRate*TotalWorkingYears_binned_5,27.269519860126728,2.0955671180469648e-07,0.4978160685395778,0.151425355340164,425,424,339,366,234,360,0,0.000993941678130286,0.0,0.001999478570153776,0.0,0.0
DailyRate*TotalWorkingYears_binned_5_catboost_encoded,23.112316297165965,1.7282864393109107e-06,1.322419333988438,0.13965033452483883,159,259,301,196,236,150,13,0.0018916863415394424,0.0,0.0015021883557738514,0.0,0.0026312203
DailyRate*TotalWorkingYears_binned_5_target_encoded,23.12257092074352,1.7192731805858852e-06,1.3255765236592043,0.1396807072576056,483,195,318,142,238,369,0,0.0021486973751764908,0.0005992177852954567,0.0024653057455955142,0.0,0.0
DailyRate*TotalWorkingYears_binned_5_woe_encoded,21.088427545281732,4.863324560226671e-06,1.4381937358427244,0.13350990773600954,262,307,156,218,240,371,1,0.002458154799820752,0.0,0.0009323143365190254,0.0,0.0
DailyRate*YearsAtCompany,16.98570657717274,4.0336011070998666e-05,0.9877832686179712,0.12002937336020009,71,17,343,225,242,158,17,0.0035827824619044063,0.0,0.001395539761533315,0.0,0.0032073208
DailyRate*YearsAtCompany_binned_5,34.68208739357951,5.076383050132028e-09,0.49736289722606014,0.17024063046393806,442,502,264,434,244,341,0,0.0009576092311948069,0.0,0.00175544269323969,0.0,0.0
DailyRate*YearsAtCompany_binned_5_catboost_encoded,34.06704309204685,6.899974051985068e-09,0.9503554661732739,0.16876774905695852,205,285,323,162,246,175,6,0.0019056652859886372,0.0,0.0011592473330598637,0.0,0.0027055459
DailyRate*YearsAtCompany_binned_5_target_encoded,34.07733164110736,6.864622261343668e-09,0.9504609270307212,0.16879250583775626,420,317,397,282,248,348,0,0.0011896972383656048,0.0,0.0023540165906187818,0.0,0.0
DailyRate*YearsAtCompany_binned_5_woe_encoded,33.54371088162436,8.961223749270098e-09,0.6279476100981924,0.16750309016157774,226,224,161,183,250,149,4,0.001886745359451686,0.00047344761422066673,0.0020053675169949027,0.0,0.004381576
DailyRate*YearsInCurrentRole,22.94854183642465,1.8788423429913396e-06,0.7780965433851948,0.1391642880956761,7,113,64,472,252,155,20,0.0018041563750730136,0.003881392530797285,0.0013468595079205862,0.0,0.0039755614
DailyRate*YearsInCurrentRole_binned_5,33.26816471757924,1.0284343037345017e-08,0.4993333436662297,0.16683291776904124,497,513,280,370,254,389,0,0.0010944437307137873,0.0,0.0015447044731029893,0.0,0.0
DailyRate*YearsInCurrentRole_binned_5_catboost_encoded,33.90146621742989,7.494689974349773e-09,5.442600258200435,0.16836877093015154,162,331,292,424,256,391,8,0.0008541456519805573,0.0,0.0009817947992291098,0.0,0.0
DailyRate*YearsInCurrentRole_binned_5_target_encoded,33.91275483034896,7.452558194912553e-09,5.4388356262628115,0.1683960057904861,327,387,319,67,258,393,0,0.0008675389593394774,0.0,0.0009106972168358742,0.0,0.0
